0,Hateful Tweet ID,Reply Tweet ID,Q1,Q2,Q3,Q4
1,1029127237973553153,1029370513255276544,1,1,0,
2,1029127237973553153,1029268312746799104,0,,,0
3,1029127237973553153,1029366607813009410,0,,,0
4,1029127237973553153,1029369957140914178,0,,,0
5,1029127237973553153,1029448768582770688,0,,,0
6,1029127237973553153,1029591817136865280,0,,,0
7,1029127237973553153,1029734725848580096,0,,,0
8,1044596023442776066,1044597013835321344,1,0,0,
9,1044596023442776066,1044652967872335872,1,0,0,
10,1044596023442776066,1045277442984808449,1,1,0,
11,1044596023442776066,1045327818278785025,1,0,0,
12,1044596023442776066,1045131613439373312,0,,,1
13,1044596023442776066,1045221297909829632,0,,,0
14,1051503268973678592,1051503643390865409,0,,,0
15,1051503268973678592,1062626327671521280,0,,,0
16,1071317680131661824,1071319476572971009,1,1,0,
17,1071317680131661824,1071339484300632065,1,0,0,
18,1071317680131661824,1071356416391290880,1,1,0,
19,1071317680131661824,1071544981687599104,1,0,1,
20,1071317680131661824,1071317685965864960,0,,,0
21,1073784276934684672,1073795804673003522,1,0,1,
22,1073784276934684672,1073792984485904384,0,,,1
23,1073784276934684672,1073806905431212032,0,,,0
24,1073784276934684672,1073810748495810561,0,,,0
25,1073784276934684672,1073950986950074369,0,,,0
26,1088818807668391937,1088858836327227393,1,0,1,
27,1088818807668391937,1089120478160130048,1,0,0,
28,1088818807668391937,1089280649259872256,0,,,1
29,1092863828189155329,1092864080451260416,1,0,0,
30,1092863828189155329,1092872366793863168,1,0,0,
31,1092863828189155329,1092872449677496320,1,0,0,
32,1092863828189155329,1092975822808346624,1,0,0,
33,1092863828189155329,1093052640190025734,1,0,1,
34,1092863828189155329,1092863961739997184,0,,,0
35,1092863828189155329,1092864233660792837,0,,,0
36,1092863828189155329,1092916266166300672,0,,,0
37,1102277181676376066,1102569776684126208,1,1,0,
38,1102277181676376066,1102277721181376513,0,,,1
39,1102277181676376066,1102278516480065537,0,,,0
40,1102277181676376066,1102283156303024128,0,,,0
41,1102277181676376066,1102290715273584647,0,,,0
42,1102277181676376066,1102291220120899590,0,,,0
43,1102277181676376066,1102311953266065410,0,,,0
44,1102277181676376066,1102498848562384897,0,,,0
45,1102411407772004353,1103123880724647937,0,,,1
46,1102411407772004353,1103137020279488514,0,,,0
47,1102411407772004353,1103169013318864898,0,,,1
48,1102411407772004353,1104017269548564481,0,,,0
49,1102411407772004353,1104114111615561729,0,,,0
50,1107011750463975430,1107328384995069957,1,1,0,
51,1107011750463975430,1107385093423882246,1,0,0,
52,1107011750463975430,1107391104511549445,1,0,0,
53,1107011750463975430,1107396578401271814,1,0,0,
54,1107011750463975430,1107396801785663494,1,0,0,
55,1107011750463975430,1107400168259944449,1,0,0,
56,1107011750463975430,1107401505433280512,1,0,0,
57,1107011750463975430,1107401910858985475,1,0,0,
58,1107011750463975430,1107402854887624704,1,0,0,
59,1107011750463975430,1107416103595048960,1,1,0,
60,1107011750463975430,1107421592345206784,1,0,0,
61,1107011750463975430,1107429494174961665,1,0,0,
62,1107011750463975430,1107432015463366656,1,0,0,
63,1107011750463975430,1107440042614669318,1,0,0,
64,1107011750463975430,1107441552043978752,1,0,0,
65,1107011750463975430,1107446417944133632,1,1,0,
66,1107011750463975430,1107450258097872896,1,1,0,
67,1107011750463975430,1107452014903128065,1,1,0,
68,1107011750463975430,1107468917793017860,1,0,0,
69,1107011750463975430,1107489653622558720,1,0,0,
70,1107011750463975430,1107499919198216192,1,1,0,
71,1107011750463975430,1107513095520505858,1,0,0,
72,1107011750463975430,1107517851261456385,1,0,0,
73,1107011750463975430,1107530198549975045,1,1,0,
74,1107011750463975430,1107594110280581120,1,1,0,
75,1107011750463975430,1107620964605612032,1,0,0,
76,1107011750463975430,1107641682655436801,1,1,0,
77,1107011750463975430,1107643354970554368,1,0,0,
78,1107011750463975430,1107693409614086144,1,1,0,
79,1107011750463975430,1107325329398468608,1,1,1,
80,1107011750463975430,1107352201406660609,1,0,0,
81,1107011750463975430,1107377091291557889,1,0,0,
82,1107011750463975430,1107380701819748352,1,1,0,
83,1107011750463975430,1107383602705240070,1,1,0,
84,1107011750463975430,1107392746724212737,1,1,1,
85,1107011750463975430,1107395184726343680,1,1,1,
86,1107011750463975430,1107799666253541379,1,0,0,
87,1107011750463975430,1107861976762462208,1,1,0,
88,1107011750463975430,1107987253710733312,1,1,0,
89,1107011750463975430,1108015556349681664,1,0,0,
90,1107011750463975430,1109427916620865537,1,0,0,
91,1107011750463975430,1113407314252451842,1,1,0,
92,1107011750463975430,1107373188483375108,1,0,1,
93,1107011750463975430,1107400783031685127,1,1,0,
94,1107011750463975430,1107415679525941249,1,1,1,
95,1107011750463975430,1107444246485893120,1,1,0,
96,1107011750463975430,1107459252162101248,1,0,0,
97,1107011750463975430,1107482564086976512,1,1,1,
98,1107011750463975430,1107601340186931202,1,0,0,
99,1107011750463975430,1107630144196362240,1,1,0,
100,1107011750463975430,1107657856101351424,1,1,1,
101,1107011750463975430,1107660225333612544,1,1,0,
102,1107011750463975430,1107871461585358848,1,1,0,
103,1107011750463975430,1107016404224618497,0,,,0
104,1107011750463975430,1107299819347943426,0,,,0
105,1107011750463975430,1107313607174443008,0,,,0
106,1107011750463975430,1107314950467403777,0,,,0
107,1107011750463975430,1107319170134355968,0,,,0
108,1107011750463975430,1107325760421982209,0,,,0
109,1107011750463975430,1107332211106291714,0,,,0
110,1107011750463975430,1107335049190522883,0,,,0
111,1107011750463975430,1107338586276458496,0,,,0
112,1107011750463975430,1107341581374251008,0,,,0
113,1107011750463975430,1107343122332291072,0,,,0
114,1107011750463975430,1107359783965868037,0,,,1
115,1107011750463975430,1107361083549982720,0,,,0
116,1107011750463975430,1107368595347116032,0,,,0
117,1107011750463975430,1107370618901708802,0,,,0
118,1107011750463975430,1107372551670358016,0,,,0
119,1107011750463975430,1107380306468839424,0,,,0
120,1107011750463975430,1107390667016142848,0,,,0
121,1107011750463975430,1107397387402784772,0,,,0
122,1107011750463975430,1107397470810791939,0,,,0
123,1107011750463975430,1107405165328359424,0,,,1
124,1107011750463975430,1107413258808504320,0,,,0
125,1107011750463975430,1107414531628822530,0,,,0
126,1107011750463975430,1107424818012528640,0,,,0
127,1107011750463975430,1107424953463394309,0,,,0
128,1107011750463975430,1107425473993297920,0,,,0
129,1107011750463975430,1107427475695398912,0,,,0
130,1107011750463975430,1107433515866566656,0,,,0
131,1107011750463975430,1107445079365640192,0,,,0
132,1107011750463975430,1107445472019529728,0,,,1
133,1107011750463975430,1107448557047611393,0,,,0
134,1107011750463975430,1107454015720353792,0,,,1
135,1107011750463975430,1107454548526931970,0,,,0
136,1107011750463975430,1107456750356230145,0,,,0
137,1107011750463975430,1107457182851833857,0,,,0
138,1107011750463975430,1107462178469228544,0,,,1
139,1107011750463975430,1107463434596241408,0,,,0
140,1107011750463975430,1107465412969750528,0,,,0
141,1107011750463975430,1107469283230208002,0,,,0
142,1107011750463975430,1107470232459923457,0,,,0
143,1107011750463975430,1107483846717685760,0,,,0
144,1107011750463975430,1107485255529844736,0,,,0
145,1107011750463975430,1107493274623709184,0,,,0
146,1107011750463975430,1107505437031591936,0,,,0
147,1107011750463975430,1107517020210233344,0,,,0
148,1107011750463975430,1107519549899984896,0,,,0
149,1107011750463975430,1107531373223518210,0,,,0
150,1107011750463975430,1107562672604831744,0,,,0
151,1107011750463975430,1107568255835742213,0,,,0
152,1107011750463975430,1107594306137677824,0,,,0
153,1107011750463975430,1107621624877068289,0,,,0
154,1107011750463975430,1107641781657763840,0,,,0
155,1107011750463975430,1107641992987795457,0,,,0
156,1107011750463975430,1107651317990862850,0,,,0
157,1107011750463975430,1107680016836386817,0,,,0
158,1107011750463975430,1107680819814891529,0,,,0
159,1107011750463975430,1107682686896885761,0,,,0
160,1107011750463975430,1107704844389924864,0,,,0
161,1107011750463975430,1107713562154135553,0,,,0
162,1107011750463975430,1107171404368281600,0,,,1
163,1107011750463975430,1107304018601226240,0,,,1
164,1107011750463975430,1107313433437974528,0,,,1
165,1107011750463975430,1107313435245727744,0,,,1
166,1107011750463975430,1107333422689779714,0,,,1
167,1107011750463975430,1107333571310702592,0,,,0
168,1107011750463975430,1107342092634857478,0,,,1
169,1107011750463975430,1107397732971540480,0,,,1
170,1107011750463975430,1107726410179850242,0,,,0
171,1107011750463975430,1107776134169747457,0,,,0
172,1107011750463975430,1107798949014822912,0,,,0
173,1107011750463975430,1109427162145308672,0,,,0
174,1107011750463975430,1107330109734903816,0,,,0
175,1107011750463975430,1107348745375678464,0,,,1
176,1107011750463975430,1107353913253154816,0,,,1
177,1107011750463975430,1107414811875442688,0,,,1
178,1107011750463975430,1107433958696845312,0,,,1
179,1107011750463975430,1107456173739896832,0,,,1
180,1107011750463975430,1107483223775473664,0,,,1
181,1107011750463975430,1107487701022973952,0,,,1
182,1107011750463975430,1107519582141591552,0,,,1
183,1107011750463975430,1107535443279646720,0,,,1
184,1107011750463975430,1107650976117329921,0,,,1
185,1107011750463975430,1107663944720764928,0,,,1
186,1107011750463975430,1108034208205803520,0,,,1
187,1107011750463975430,1114655407702781952,0,,,1
188,1107042648026742787,1107043274701881345,1,0,1,
189,1107042648026742787,1107044194411925505,1,0,1,
190,1107042648026742787,1107043395619434499,1,1,0,
191,1107042648026742787,1107054882220064768,1,0,1,
